State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Himachal Pradesh",Kangra,Kangra,Ginger(Green),Other,FAQ,17/07/2025,6500,7000,6700
"Himachal Pradesh",Kangra,Kangra,Lemon,Other,FAQ,17/07/2025,5000,6000,5500
"Himachal Pradesh",Kangra,Kangra,Onion,Other,FAQ,17/07/2025,2200,2500,2300
"Himachal Pradesh",Kangra,Kangra,Papaya,Other,Medium,17/07/2025,3500,4000,3700
"Himachal Pradesh",Kangra,Kangra,"Sponge gourd",Other,FAQ,17/07/2025,5000,6000,5500
"Himachal Pradesh",Kangra,Kangra,Tinda,Other,FAQ,17/07/2025,7500,8000,7700
"Himachal Pradesh",Kangra,Kangra(Baijnath),Brinjal,Brinjal,FAQ,17/07/2025,4000,4500,4300
"Himachal Pradesh",Kangra,Kangra(Baijnath),Carrot,Carrot,FAQ,17/07/2025,2800,3000,3000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Guava,Guava,Medium,17/07/2025,6700,6800,6800
"Himachal Pradesh",Kangra,Kangra(Baijnath),Potato,Potato,FAQ,17/07/2025,1800,2000,1900
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),"Bhindi(Ladies Finger)",Bhindi,FAQ,17/07/2025,4000,4200,4100
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Brinjal,Brinjal,FAQ,17/07/2025,4800,5200,5000
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Lemon,Lemon,FAQ,17/07/2025,4200,5000,4600
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Raddish,Raddish,FAQ,17/07/2025,2000,2200,2100
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)","Bottle gourd","Bottle Gourd",FAQ,17/07/2025,2500,5500,4000
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Cauliflower,"African Sarson",FAQ,17/07/2025,3000,6000,4500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Colacasia,Colacasia,FAQ,17/07/2025,3500,4000,3700
